grammar,seed,n_layer,n_embd,n_head,steps,test_ce,loss_gap_closed,root_r2,deepest_r2,root_rmse,deepest_rmse
0,0,1,128,4,4000,0.974,0.816,0.136,0.374,0.225,0.192
0,1,1,128,4,4000,0.933,0.847,0.131,0.403,0.225,0.194
0,2,1,128,4,4000,1.028,0.776,0.114,0.354,0.231,0.199
1,0,1,128,4,4000,0.913,0.858,0.271,0.475,0.225,0.176
1,1,1,128,4,4000,0.873,0.887,0.268,0.483,0.224,0.177
1,2,1,128,4,4000,0.854,0.901,0.245,0.421,0.226,0.177
2,0,1,128,4,4000,0.92,0.875,0.292,-0.138,0.225,0.199
2,1,1,128,4,4000,0.872,0.912,0.248,0.344,0.233,0.199
2,2,1,128,4,4000,0.911,0.882,0.298,0.382,0.222,0.194
0,0,2,16,4,4000,1.065,0.749,0.022,0.172,0.24,0.224
0,1,2,16,4,4000,1.048,0.762,0.045,0.203,0.237,0.226
0,2,2,16,4,4000,1.038,0.769,0.032,0.183,0.241,0.228
1,0,2,16,4,4000,0.966,0.819,0.065,0.233,0.256,0.217
1,1,2,16,4,4000,0.951,0.83,0.079,0.216,0.254,0.22
1,2,2,16,4,4000,0.921,0.852,0.073,0.222,0.25,0.212
2,0,2,16,4,4000,0.943,0.857,0.097,-0.115,0.253,0.232
2,1,2,16,4,4000,0.973,0.835,0.08,0.096,0.258,0.239
2,2,2,16,4,4000,0.934,0.864,0.107,0.12,0.252,0.234
0,0,2,64,4,4000,1.107,0.718,0.143,0.329,0.224,0.199
0,1,2,64,4,4000,1.236,0.623,0.127,0.358,0.226,0.201
0,2,2,64,4,4000,1.225,0.631,0.151,0.351,0.226,0.202
1,0,2,64,4,4000,1.05,0.757,0.258,0.397,0.228,0.19
1,1,2,64,4,4000,1.182,0.66,0.225,0.381,0.232,0.193
1,2,2,64,4,4000,1.084,0.732,0.212,0.343,0.23,0.19
2,0,2,64,4,4000,1.182,0.677,0.249,-0.121,0.231,0.211
2,1,2,64,4,4000,1.122,0.722,0.283,0.304,0.228,0.205
2,2,2,64,4,4000,1.103,0.737,0.258,0.296,0.228,0.208
0,0,2,128,1,4000,0.919,0.857,0.205,0.458,0.216,0.177
0,1,2,128,1,4000,0.936,0.844,0.165,0.468,0.22,0.183
0,2,2,128,1,4000,1.07,0.745,0.155,0.432,0.225,0.185
1,0,2,128,1,4000,0.931,0.844,0.266,0.527,0.226,0.169
1,1,2,128,1,4000,0.943,0.836,0.274,0.512,0.223,0.17
1,2,2,128,1,4000,0.931,0.845,0.287,0.495,0.218,0.162
2,0,2,128,1,4000,0.916,0.878,0.369,0.091,0.212,0.173
2,1,2,128,1,4000,0.937,0.862,0.322,0.449,0.222,0.182
2,2,2,128,1,4000,1.02,0.799,0.247,0.371,0.23,0.195
0,0,2,128,2,4000,0.891,0.878,0.288,0.508,0.205,0.166
0,1,2,128,2,4000,0.871,0.893,0.269,0.594,0.206,0.157
0,2,2,128,2,4000,0.899,0.871,0.17,0.465,0.223,0.181
1,0,2,128,2,4000,0.856,0.9,0.449,0.585,0.196,0.155
1,1,2,128,2,4000,0.81,0.934,0.432,0.619,0.198,0.149
1,2,2,128,2,4000,0.867,0.892,0.344,0.495,0.208,0.162
2,0,2,128,2,4000,1.023,0.797,0.37,-0.19,0.21,0.18
2,1,2,128,2,4000,0.877,0.908,0.353,0.453,0.216,0.18
2,2,2,128,2,4000,0.859,0.921,0.365,0.477,0.211,0.175
0,0,2,128,4,4000,1.019,0.783,0.182,0.409,0.219,0.183
0,1,2,128,4,4000,0.964,0.824,0.214,0.498,0.214,0.178
0,2,2,128,4,4000,0.877,0.888,0.301,0.515,0.205,0.17
1,0,2,128,4,4000,0.89,0.875,0.467,0.576,0.192,0.156
1,1,2,128,4,4000,0.832,0.918,0.396,0.592,0.203,0.154
1,2,2,128,4,4000,0.819,0.927,0.405,0.54,0.196,0.154
2,0,2,128,4,4000,0.837,0.938,0.418,-0.028,0.204,0.175
2,1,2,128,4,4000,0.935,0.864,0.37,0.404,0.213,0.189
2,2,2,128,4,4000,0.883,0.903,0.426,0.464,0.2,0.178
0,0,2,128,4,16000,1.307,0.571,0.304,0.477,0.201,0.171
0,1,2,128,4,16000,1.17,0.671,0.298,0.566,0.202,0.163
0,2,2,128,4,16000,1.278,0.592,0.304,0.517,0.204,0.17
1,0,2,128,4,16000,1.086,0.73,0.406,0.558,0.203,0.16
1,1,2,128,4,16000,1.074,0.739,0.442,0.603,0.196,0.15
1,2,2,128,4,16000,0.972,0.814,0.474,0.583,0.185,0.146
2,0,2,128,4,16000,0.984,0.827,0.497,-0.171,0.188,0.168
2,1,2,128,4,16000,1.096,0.742,0.478,0.552,0.194,0.161
2,2,2,128,4,16000,0.895,0.894,0.448,0.506,0.197,0.17
0,0,2,128,8,4000,1.046,0.763,0.253,0.461,0.209,0.176
0,1,2,128,8,4000,1.016,0.786,0.272,0.532,0.206,0.171
0,2,2,128,8,4000,0.917,0.859,0.269,0.521,0.209,0.169
1,0,2,128,8,4000,0.936,0.841,0.456,0.558,0.194,0.159
1,1,2,128,8,4000,0.948,0.832,0.369,0.527,0.209,0.169
