grammar,seed,n_layer,test_ce,loss_gap_closed,root_r2,deepest_r2,root_rmse,deepest_rmse
0,0,2,0.716,0.992,0.207,0.32,0.215,0.201
0,0,3,0.716,0.991,0.23,0.35,0.211,0.197
0,1,2,0.715,0.992,0.178,0.345,0.217,0.197
0,1,3,0.719,0.99,0.263,0.386,0.205,0.191
0,2,2,0.728,0.983,0.148,0.307,0.219,0.2
0,2,3,0.711,0.995,0.276,0.33,0.202,0.196
1,0,2,0.728,0.982,0.227,0.284,0.229,0.197
1,0,3,0.713,0.993,0.282,0.298,0.22,0.194
1,1,2,0.715,0.992,0.227,0.28,0.231,0.203
1,1,3,0.718,0.989,0.288,0.341,0.221,0.193
1,2,2,0.722,0.987,0.179,0.273,0.237,0.202
1,2,3,0.715,0.992,0.298,0.336,0.218,0.191
2,0,2,0.724,0.987,0.203,0.317,0.237,0.199
2,0,3,0.726,0.986,0.271,0.372,0.227,0.19
2,1,2,0.727,0.985,0.171,0.304,0.24,0.196
2,1,3,0.718,0.992,0.301,0.384,0.22,0.183
2,2,2,0.725,0.986,0.149,0.315,0.245,0.198
2,2,3,0.72,0.99,0.318,0.386,0.218,0.186
3,0,2,0.74,0.986,0.231,0.25,0.209,0.196
3,0,3,0.732,0.992,0.304,0.235,0.199,0.196
3,1,2,0.783,0.955,0.22,0.257,0.207,0.202
3,1,3,0.73,0.994,0.351,0.244,0.189,0.199
3,2,2,0.75,0.979,0.211,0.273,0.212,0.201
3,2,3,0.735,0.99,0.345,0.301,0.192,0.198
4,0,2,0.73,0.987,0.183,0.381,0.22,0.178
4,0,3,0.722,0.992,0.33,0.423,0.199,0.172
4,1,2,0.723,0.992,0.171,0.347,0.227,0.189
4,1,3,0.731,0.986,0.2,0.368,0.222,0.186
4,2,2,0.722,0.992,0.244,0.388,0.214,0.187
4,2,3,0.721,0.993,0.308,0.443,0.205,0.178
5,0,2,0.745,0.978,0.073,0.273,0.232,0.202
5,0,3,0.732,0.988,0.134,0.288,0.224,0.2
5,1,2,0.741,0.981,0.103,0.317,0.225,0.197
5,1,3,0.728,0.991,0.205,0.33,0.212,0.195
5,2,2,0.748,0.976,0.134,0.283,0.223,0.196
5,2,3,0.743,0.98,0.153,0.306,0.221,0.193
6,0,2,0.718,0.992,0.213,0.31,0.222,0.199
6,0,3,0.72,0.991,0.29,0.386,0.211,0.187
6,1,2,0.731,0.983,0.134,0.29,0.232,0.202
6,1,3,0.731,0.982,0.206,0.351,0.223,0.192
6,2,2,0.723,0.988,0.138,0.299,0.234,0.201
6,2,3,0.717,0.993,0.266,0.34,0.215,0.194
7,0,2,0.732,0.987,0.254,0.259,0.208,0.198
7,0,3,0.744,0.978,0.228,0.274,0.212,0.195
7,1,2,0.729,0.989,0.227,0.103,0.214,0.201
7,1,3,0.762,0.965,0.249,0.121,0.211,0.195
7,2,2,0.732,0.987,0.186,-0.229,0.219,0.201
7,2,3,0.737,0.983,0.245,-0.216,0.211,0.193
8,0,2,0.718,0.988,0.202,0.292,0.223,0.197
8,0,3,0.714,0.99,0.257,0.33,0.216,0.192
8,1,2,0.727,0.981,0.236,0.276,0.217,0.197
8,1,3,0.713,0.991,0.294,0.315,0.207,0.191
8,2,2,0.732,0.978,0.152,0.245,0.233,0.204
8,2,3,0.718,0.988,0.327,0.347,0.207,0.189
9,0,2,0.727,0.986,0.27,0.298,0.21,0.186
9,0,3,0.727,0.986,0.383,0.348,0.192,0.178
9,1,2,0.721,0.991,0.264,0.328,0.211,0.187
9,1,3,0.716,0.994,0.379,0.387,0.192,0.177
9,2,2,0.717,0.993,0.298,0.326,0.207,0.185
9,2,3,0.724,0.988,0.333,0.351,0.202,0.181
