skew,ambiguity,draw,test_ce,bayes_floor,loss_gap_closed,root_r2,mid_r2,low_r2,shuffled_r2,k8_entropy,eff_dim,hull_area
high,0.0000,0,1.1915,0.2818,0.4939,0.2369,0.3522,0.4214,-0.0868,0.0000,6.9652,0.6465
high,0.0000,1,0.8751,0.3953,0.7151,0.2492,0.3554,0.4202,-0.0628,0.0000,6.9652,0.6465
high,0.0000,2,1.0670,0.2532,0.5544,0.2983,0.1920,0.3542,-0.0782,0.0000,6.9652,0.6465
high,0.3000,0,0.9041,0.2118,0.6293,0.3115,0.3577,0.5997,-0.0447,0.2655,5.6327,0.5984
high,0.3000,1,0.3135,0.1622,0.9211,0.4511,0.5554,0.5639,-0.0808,0.3314,4.9094,0.6720
high,0.3000,2,0.6246,0.2468,0.7938,0.3783,0.4539,0.5344,-0.1115,0.4441,4.7952,0.6780
high,0.6000,0,0.3267,0.1826,0.9241,0.5202,0.6696,0.6840,-0.0675,0.5852,3.7205,0.6501
high,0.6000,1,0.2625,0.2101,0.9720,0.5496,0.6274,0.8281,-0.0704,0.6123,3.6509,0.7863
high,0.6000,2,0.2848,0.2101,0.9601,0.5612,0.7059,0.7040,-0.1028,0.4243,2.8199,0.6248
mid,0.0000,0,0.8921,0.5366,0.7696,0.3287,0.4008,0.3964,-0.0608,0.0000,6.9652,0.6465
mid,0.0000,1,1.0199,0.5468,0.6913,0.3799,0.5235,0.5137,-0.0439,0.0000,6.9652,0.6465
mid,0.0000,2,1.1025,0.5426,0.6357,0.3549,0.3549,-7.4713,-0.0763,0.0000,6.9652,0.6465
mid,0.3000,0,0.6272,0.4867,0.9118,0.4159,0.4348,0.5595,-0.0552,0.6537,4.8768,0.5921
mid,0.3000,1,0.6823,0.4995,0.8843,0.4557,0.6463,0.6656,-0.0553,0.3870,5.8288,0.6014
mid,0.3000,2,0.6325,0.5326,0.9354,0.3626,0.4213,0.6025,-0.0270,0.7169,5.2545,0.7321
mid,0.6000,0,0.5376,0.4261,0.9326,0.5044,0.6875,0.8028,-0.0715,1.1605,4.3417,0.5354
mid,0.6000,1,0.6313,0.5088,0.9220,0.3874,0.5424,0.6770,-0.0920,0.9423,3.8371,0.6337
mid,0.6000,2,0.5529,0.4420,0.9323,0.4711,0.7290,0.7901,-0.1003,1.0470,4.0308,0.4432
none,0.0000,0,0.8900,0.7253,0.8784,0.3002,0.4092,0.5039,-0.0568,0.0000,6.9652,0.6465
none,0.0000,1,0.8494,0.7199,0.9047,0.3578,0.5082,0.5504,-0.0638,0.0000,6.9652,0.6465
none,0.0000,2,0.8447,0.7544,0.9319,0.4262,0.4582,0.0083,-0.0640,0.0000,6.9652,0.6465
none,0.3000,0,0.6930,0.6221,0.9513,0.4455,0.4894,0.6512,-0.0439,0.7598,5.3126,0.6421
none,0.3000,1,0.7216,0.6509,0.9505,0.4274,0.6678,0.6417,-0.0553,0.6576,5.5352,0.5416
none,0.3000,2,0.7397,0.6660,0.9479,0.3771,0.5106,0.5869,-0.0733,0.7003,5.4769,0.5762
none,0.6000,0,0.5011,0.4860,0.9905,0.5640,0.6747,0.7615,-0.1606,1.3969,3.7241,0.6400
none,0.6000,1,0.5658,0.5448,0.9863,0.6170,0.7852,0.9018,-0.0745,1.3457,3.3016,0.5520
none,0.6000,2,0.5328,0.4976,0.9778,0.4220,0.6758,0.7826,-0.0481,1.4068,2.7883,0.4318
