grammar,seed,n_layer,n_embd,n_head,test_ce,loss_gap_closed,root_r2,deepest_r2,root_rmse,deepest_rmse
0,0,2,128,4,0.931,0.848,0.242,0.498,0.21,0.167
0,1,2,128,4,0.891,0.878,0.243,0.497,0.21,0.177
0,2,2,128,4,0.918,0.858,0.281,0.532,0.207,0.167
1,0,2,128,4,0.847,0.906,0.375,0.556,0.208,0.16
1,1,2,128,4,0.812,0.932,0.479,0.616,0.189,0.149
1,2,2,128,4,0.845,0.908,0.353,0.496,0.208,0.162
2,0,2,128,4,0.905,0.886,0.402,-0.061,0.206,0.175
2,1,2,128,4,0.858,0.922,0.454,0.479,0.198,0.174
2,2,2,128,4,0.866,0.916,0.354,0.46,0.212,0.18
3,0,2,128,4,0.845,0.91,0.336,0.253,0.197,0.149
3,1,2,128,4,0.912,0.86,0.333,0.611,0.199,0.147
3,2,2,128,4,0.92,0.854,0.311,0.607,0.203,0.155
4,0,2,128,4,0.925,0.876,0.442,0.505,0.188,0.174
4,1,2,128,4,0.884,0.907,0.416,0.497,0.19,0.168
4,2,2,128,4,0.909,0.888,0.29,0.442,0.209,0.178
5,0,2,128,4,0.853,0.911,0.25,0.461,0.211,0.179
5,1,2,128,4,0.841,0.92,0.277,0.482,0.211,0.179
5,2,2,128,4,0.848,0.914,0.334,0.493,0.197,0.175
6,0,2,128,4,0.868,0.896,0.351,0.523,0.207,0.179
6,1,2,128,4,0.882,0.885,0.4,0.553,0.201,0.174
6,2,2,128,4,0.836,0.919,0.312,0.523,0.211,0.176
7,0,2,128,4,0.964,0.82,0.298,0.441,0.206,0.189
7,1,2,128,4,0.909,0.861,0.256,0.359,0.211,0.201
7,2,2,128,4,0.892,0.874,0.326,0.436,0.203,0.194
8,0,2,128,4,0.897,0.863,0.338,0.524,0.206,0.17
8,1,2,128,4,0.838,0.906,0.359,0.532,0.205,0.172
8,2,2,128,4,0.868,0.884,0.327,0.532,0.209,0.175
9,0,2,128,4,0.899,0.894,0.411,0.557,0.192,0.16
9,1,2,128,4,0.988,0.827,0.394,0.565,0.198,0.162
9,2,2,128,4,0.87,0.916,0.438,0.604,0.188,0.153
